metric,value
accuracy,0.05
macro_avg_f1,0.00526417463537139
admiration_f1,0.0
amusement_f1,0.0
anger_f1,0.0
annoyance_f1,0.0784313725490196
approval_f1,0.0
caring_f1,0.0
confusion_f1,0.0
curiosity_f1,0.0
desire_f1,0.0
disappointment_f1,0.0
disapproval_f1,0.0
disgust_f1,0.0
embarrassment_f1,0.0
excitement_f1,0.0
fear_f1,0.0
gratitude_f1,0.0
grief_f1,0.0
joy_f1,0.0
love_f1,0.0
nervousness_f1,0.0
neutral_f1,0.0
optimism_f1,0.0
pride_f1,0.0
realization_f1,0.0
relief_f1,0.0
remorse_f1,0.0
sadness_f1,0.0
surprise_f1,0.06896551724137931
precision,0.027040816326530614
recall,0.05185185185185185
f1_score,0.007369844489519946
prediction_mean,3.48
prediction_std,3.36
pred_count_3,98
pred_count_27,2
prediction_latency,0.03595232963562012
cpu_usage,36.1
memory_usage,12.5
